Location	LatLong	Curvature	Stop	Mode	Notes
Canberra	"-35.355434, 149.066050"	0.3	2	2	
Sydney	"-33.939914, 151.175287"	0.05	2	1	
Singapore 	"1.362719, 103.989051"	0.05	2	1	
Zürich	"47.461717, 8.550850"	0.1	2	1	
Palermo Airport 	"38.180906, 13.098643"	-0.2	2	3	
Palermo 	"38.114858, 13.355570"	0.2	0	3	
Monreale	"38.080758, 13.288281"	0.2	1	3	
Palermo	"38.114858, 13.355570"	-0.3	3	0	
Polizzi Generosa	"37.812646, 13.999525"	0.3	0	0	
Petralia Sottana	"37.807590, 14.092725"	0.3	1	0	
Petralia Soprana	"37.797451, 14.107965"	0.3	1	0	
Polizzi Generosa	"37.812646, 13.999525"	0.3	3	0	
Cefalù	"38.035031, 14.021115"	0.3	1	0	
Polizzi Generosa	"37.812646, 13.999525"	0.3	3	0	
Gangi	"37.796150, 14.203541"	0.2	1	0	
Taormina	"37.854521, 15.288673"	-0.45	0	0	
Syracuse	"37.077175, 15.283938"	-0.2	0	0	
Palazzolo Acreide	"37.063687, 14.905291"	0.3	1	0	
Ákrai	"37.057796, 14.894648"	-0.3	1	0	
Marzamemi	"36.741872, 15.118822"	0.3	1	0	
Syracuse	"37.077175, 15.283938"	-0.3	3	0	
Villa Romana del Tellaro	"36.834881, 15.078734"	0.3	1	0	Villa with Roman Mosaics
Noto	"36.892234, 15.070835"	-0.3	0	0	
Ispica	"36.785472, 14.904421"	0.3	1	0	
Ragusa Ibla 	"36.925632, 14.747438"	0.3	0	0	
Scicli	"36.793902, 14.703942"	-0.2	1	0	
Punta Secca	"36.788319, 14.493134"	0.3	1	0	
Castello Di Donnafugata	"36.881694, 14.564190"	-0.3	1	0	
Ragusa Ibla 	"36.925632, 14.747438"	0.2	3	3	
Ragusa Superiore	"36.926832, 14.729003"	0.2	1	8	
Rasusa Ibla	"36.925632, 14.747438"	-0.3	3	0	
Caltagirone	"37.237154, 14.513170"	0.3	1	0	
Piazza Amarino	"37.386301, 14.371582"	0.3	0	0	
Aidone	"37.414541, 14.445729"	0.3	1	0	Archaeological Museum
Morgantina	"37.428985, 14.476054"	0.3	1	0	
Piazza Amarino	"37.386301, 14.371582"	-0.3	3	0	
Villa Romana del Casale	"37.364960, 14.334791"	-0.2	1	0	
Agrigento	"37.308993, 13.585231"	-0.2	0	0	
Scala dei Turchi	"37.290217, 13.472707"	0.2	1	0	
Porto Empedocle	"37.287721, 13.527598"	0.2	1	0	
Agrigento	"37.308993, 13.585231"	0.3	3	0	
Archaeological Museum	"37.297319, 13.588965"	0.3	1	0	
Agrigento	"37.308993, 13.585231"	0.3	3	0	
Valley of the Temples	"37.289814, 13.592178"	0.3	1	0	
Agrigento	"37.308993, 13.585231"	-0.2	3	0	
Selenunte	"37.585047, 12.836784"	-0.2	1	0	
Trapani	"38.017468, 12.536371"	0.3	0	7	
Erice	"38.037907, 12.587478"	0.3	1	7	
Trapani	"38.017468, 12.536371"	0.15	3	0	
Segesta	"37.941907, 12.835705"	0.15	1	0	
Trapani	"38.017468, 12.536371"	0.3	3	0	
Salt Museum	"37.982704, 12.496892"	0.3	1	0	
Salt Farm	"37.818103, 12.463881"	-0.3	1	0	
Trapani	"38.017468, 12.536371"	-0.3	3	0	
San Vito Lo Capo	"38.172687, 12.736301"	0.4	1	0	
Trapani	"38.017468, 12.536371"	-0.6	3	0	
Palermo Airport 	"38.180906, 13.098643"	0.1	2	1	
Zürich	"47.461717, 8.550850"	0.05	2	1	
Singapore 	"1.362719, 103.989051"	0.05	2	1	
Sydney	"-33.939914, 151.175287"	0.3	2	2	
Canberra	"-35.355434, 149.066050"	0.3	2	0	
