Location	LatLong	Curvature	Stop	Mode	Notes
Canberra	-35.355434, 149.066050	0.3	2	1	
Sydney	-33.939914, 151.175287	0.1	2	1	
Perth	-31.953195, 115.856095	0.3	2	0	
Fremantle	-32.055676, 115.746232	-0.2	0	0	
The Pinnacles	-30.603049, 115.154572	0.3	1	0	
Lake Thetis	-30.505975, 115.078576	0.3	1	0	
Fremantle	-32.055676, 115.746232	0.3	3	0	
Perth	-31.953195, 115.856095	0.3	1	0	
Fremantle	-32.055676, 115.746232	0.2	3	0	
New Norcia	-30.973307, 116.211668	0.2	1	0	
Fremantle	-32.055676, 115.746232	0.3	3	0	
Busselton	-33.644081, 115.344189	-0.3	2	0	
Margaret River	-33.953253, 115.072841	0.3	1	0	
Prevelly	-33.979022, 114.993705	0.3	0	0	
Ngilgi Cave	-33.642295, 115.034374	0.3	1	0	
Cape Naturalist Lighthouse	-33.537224, 115.018903	0.3	1	0	
Prevelly	-33.979022, 114.993705	0.3	3	0	
Mammoth Cave	-34.060508, 115.029634	0.3	1	0	
Lake Cave	-34.079004, 115.029366	0.3	1	0	
Prevelly	-33.979022, 114.993705	0.3	3	0	
Jewel Cave	-34.273878, 115.098331	0.3	1	0	
Cape Leeuwin Lighthouse	-34.374387, 115.136107	0.3	1	0	
Prevelly	-33.979022, 114.993705	-0.35	3	0	
Bassendean	-31.902951, 115.953891	0.3	1	0	
Perth	-31.953195, 115.856095	0.1	2	1	
Sydney	-33.939914, 151.175287	0.3	2	1	
Canberra	-35.355434, 149.066050	0.0	2	0	
