Location	LatLong	Curvature	Stop	Mode	Notes
Canberra	"-35.355434, 149.066050"	0.3	2	0	
Sydney	"-33.939914, 151.175287"	0.05	2	1	
London	"51.506767, -0.129757"	0.3	0	0	
Paris	"48.854324, 2.333177"	0.2	0	0	
Nice	"43.710239, 7.260829"	-0.2	0	0	
Grasse	"43.658238, 6.920116"	-0.3	1	0	Perfumery
Antibes	"43.579200, 7.116497"	0.3	1	0	Picasso Museum
Nice	"43.710239, 7.260829"	0.3	3	0	
Monaco	"43.737283, 7.421161"	0.3	1	0	
Pisa	"43.723514, 10.403262"	0.2	1	0	
Florence	"43.771133, 11.262942"	-0.3	0	0	
Rome	"41.900784, 12.497531"	0.35	0	0	
Pompeii	"40.745968, 14.499433"	-0.2	1	0	
Rome	"41.900784, 12.497531"	0.3	3	0	
Venice	"45.439274, 12.312788"	0.3	0	0	
Innsbruck	"47.268896, 11.403507"	0.2	1	0	
Vaduz	"47.140420, 9.517235"	0.3	1	0	
Rhine Falls	"47.677956, 8.615561"	0.3	1	0	
Heidelberg	"49.399228, 8.672626"	0.3	1	0	
Bad Godesberg	"50.677664, 7.154178"	0.3	1	0	
Amsterdam	"52.369770, 4.896209"	0.3	0	0	
Barrier Dam	"52.993015, 5.172789"	0.3	1	0	
Lelystad	"52.521368, 5.460494"	0.3	1	0	Archaeological Museum
Amsterdam	"52.369770, 4.896209"	0.3	3	0	
London	"51.506767, -0.129757"	0.05	2	1	
Nairobi	"-1.292443, 36.821982"	0.3	0	0	
Treetops Lodge	"-0.359943, 36.900884"	0.3	1	0	
Samburu National Reserve	"0.612444, 37.532102"	0.3	1	0	
Nairobi	"-1.292443, 36.821982"	0.3	3	0	
Lake Naivasha	"-0.774380, 36.370284"	0.3	1	0	
Nairobi	"-1.292443, 36.821982"	0.2	3	0	
Mombassa	"-4.039314, 39.683005"	0.3	3	0	
Diani Beach	"-3.976061, 39.749540"	0.3	0	0	
Mombassa	"-4.039314, 39.683005"	0.2	1	0	
Diani Beach	"-3.976061, 39.749540"	0.3	3	0	
Nairobi	"-1.292443, 36.821982"	0.05	2	1	
London	"51.506767, -0.129757"	0.3	1	2	
Brighton	"50.822125, -0.136917"	0.3	1	2	Day trip with Wendy and Tony
London	"51.506767, -0.129757"	0.05	3	1	
Sydney	"-33.939914, 151.175287"	0.3	2	0	
Canberra	"-35.355434, 149.066050"	0.3	2	0	
