Location	LatLong	Curvature	Stop	Mode	Notes
Canberra	-35.355434, 149.066050	0.3	1	1	
Sydney	-33.939914, 151.175287	0.05	2	1	
Abu Dhabi	24.459632, 54.377252	0.05	2	1	
Athens	37.993136, 23.717269	-0.2	0	0	
Corinthian Canal	37.923568, 23.005904	-0.3	1	0	
Kiveri	37.525333, 22.728499	0.4	0	0	
Epidavros	37.598406, 23.076628	0.2	1	0	
Kiveri	37.525333, 22.728499	0.45	3	0	
Ancient Corinth	37.910025, 22.880934	0.2	1	0	
Kiveri	37.525333, 22.728499	0.2	3	0	
Mycenae	37.732525, 22.742575	0.2	1	0	
Kiveri	37.525333, 22.728499	0.3	3	0	
Nafplion	37.569158, 22.801283	0.3	1	0	
Kiveri	37.525333, 22.728499	-0.3	3	0	
Monemvasia	36.689019, 23.052252	-0.3	0	0	
Githio	36.762766, 22.564734	-0.2	2	0	
Gerolimenas	36.484470, 22.401312	0.2	2	0	
Diros Caves	36.647161, 22.383460	0.3	1	0	
Stoupa	36.847251, 22.258749	-0.3	1	0	
Zacharo	37.516308, 21.657314	0.3	0	0	
Methoni	36.819885, 21.706034	-0.2	1	0	
Zacharo	37.516308, 21.657314	0.3	3	0	
Sparti	37.075673, 22.430152	0.2	1	0	
Mystras	37.071290, 22.375907	-0.2	1	0	
Zacharo	37.516308, 21.657314	0.3	3	0	
Ancient Olympia	37.646737, 21.625464	0.3	1	0	
Zacharo	37.516308, 21.657314	0.3	3	0	
Lousios Gorge	37.532264, 22.036251	-0.3	1	0	
Dimitsana	37.599002, 22.032903	0.3	1	0	
Kalavitra	38.031559, 22.111654	-0.3	2	0	
Diakopto	38.191957, 22.197614	0.3	2	0	
Ioannina	39.666104, 20.853882	0.3	1	0	
Monodendri	39.882482, 20.747472	0.3	1	0	
Oxya Viewpoint	39.907633, 20.752192	0.3	1	0	
Kokkori Bridge	39.862259, 20.775369	0.3	1	0	
Plakidas Bridge	39.861684, 20.786355	-0.3	1	0	
Ioannina	39.666104, 20.853882	0.2	3	0	
Meteora	39.721725, 21.630396	-0.3	0	0	
Vergina	40.487648, 22.318837	-0.2	1	0	
Ano Gatzea	39.320560, 23.093783	-0.3	0	0	
Arachova	38.480262, 22.584055	0.3	0	0	
Delphi	38.482732, 22.498310	0.3	1	0	
Arachova	38.480262, 22.584055	-0.3	3	0	
Galaxidi	38.377809, 22.383212	0.3	1	0	
Hosios Loukas Monastery	38.395467, 22.746831	-0.3	1	0	
Arachova	38.480262, 22.584055	0.2	3	0	
Athens	37.993136, 23.717269	0.05	2	1	
Abu Dhabi	24.459632, 54.377252	0.05	2	1	
Sydney	-33.939914, 151.175287	0.3	2	1	
Canberra	-35.355434, 149.066050	0.0	2	0	
