Location	LatLong	Curvature	Stop	Mode	Notes
Canberra	-35.355434, 149.066050	0.3	2	0	
Sydney	-33.939914, 151.175287	0.05	2	1	
London	51.506767, -0.129757	0.3	1	5	
Hever Castle	51.187218, 0.113597	0.3	1	5	
Penshurst Village	51.172716, 0.182452	0.3	1	5	
Westerham	51.266939, 0.071856	0.3	1	5	
Runnymede	51.411875, -0.180834	0.2	1	5	
Eton	51.495160, -0.603768	0.3	1	5	
Windsor	51.481478, -0.615441	0.3	1	5	
Rye	50.948912, 0.736173	0.2	1	5	
Bodiam	51.002599, 0.542539	0.2	1	5	
Brighton	50.819548, -0.138614	-0.2	1	5	
Arundel	50.855106, -0.556094	0.3	1	5	
Chichester	50.836814, -0.774973	0.2	1	5	
Salisbury Plain	51.178477, -1.827625	0.15	1	5	
Crawley	51.111083, -0.191702	0.2	1	5	
Winchester	51.059324, -1.310934	0.2	1	5	
Salisbury	51.068818, -1.798452	0.2	1	5	
Stourton	51.106341, -2.317368	0.2	1	5	
Exeter	50.720489, -3.535442	0.2	1	5	
Drewsteignton	50.702811, -3.796230	0.3	1	5	
Dartmoor National Park	50.569903, -3.920621	0.3	1	5	
Widcombe in the Moor	50.574367, -3.810290	0.3	1	5	
Buckland in the Moor	50.543605, -3.807913	0.2	1	5	
Cockington	50.461927, -3.557604	0.2	1	5	
High Ham	51.075108, -2.818774	0.3	1	5	
Glastonbury	51.147363, -2.718387	0.3	1	5	
Wells	51.210027, -2.647712	0.3	1	5	
Bath	51.375788, -2.359586	-0.2	1	5	
Lacock	51.415938, -2.123375	0.3	1	5	
Castle Combe	51.493056, -2.229170	0.2	1	5	
Avebury	51.428607, -1.854829	-0.2	1	5	
Oxford	51.753214, -1.260318	0.2	1	5	
Burford	51.804720, -1.636599	0.2	1	5	
Bibury	51.758536, -1.831263	0.3	1	5	
Bourton-on-the-Water	51.885210, -1.764315	0.2	1	5	
Winchcombe	51.956642, -1.968936	0.3	1	5	
Broadway	52.037458, -1.867312	0.2	1	5	
Chipping Campden	52.049283, -1.783541	0.3	1	5	
Hidcote	52.080061, -1.741881	-0.3	1	5	
Shottery	52.190779, -1.724310	0.3	1	5	
Stratford-upon-avon	52.191582, -1.708517	-0.2	1	5	
Ardens	52.186711, -1.827370	-0.3	1	5	
Broom	52.177870, -1.870318	-0.2	1	5	
Wellford-on-Avon	52.165965, -1.785689	0.3	1	5	
Wilmcote	52.221620, -1.764575	0.2	1	5	
Charlecote	52.209037, -1.615187	0.3	1	5	
Warwick	52.201778, -1.588351	-0.3	1	5	
Hatton Locks	52.299535, -1.645595	-0.3	1	5	
Kenilworth	52.349572, -1.581385	-0.3	1	5	
Knowle	52.386238, -1.732951	0.3	1	5	
Lapworth	52.338916, -1.764701	-0.2	1	5	
Great Comberton	52.076998, -2.066374	0.3	1	5	
Elmley	52.070434, -2.024489	0.3	1	5	
Evesham	52.092149, -1.946444	0.2	1	5	
Bretforton	52.093238, -1.865187	0.1	1	5	
Cleeve Abbey	51.158251, -3.359663	0.3	1	5	
Dunster	51.180997, -3.447362	0.3	1	5	
Lynmouth	51.225740, -3.826232	0.2	1	5	
Clovelly	51.001852, -4.403017	0.2	1	5	
St. Ives	50.205584, -5.487242	0.3	1	5	
Chysauster	50.155458, -5.535051	0.3	1	5	
Mount's Bay	50.116591, -5.478048	-0.2	1	5	
Restormel Castle	50.421637, -4.670376	0.3	1	5	
Bodmin	50.471441, -4.718967	0.2	1	5	
St. Dominick	50.488536, -4.255119	-0.1	1	5	
Severn Bridge	51.610202, -2.639746	-0.2	2	5	
Caerphilly	51.578576, -3.215582	0.2	1	5	
Tintern	51.697108, -2.670614	0.3	1	5	
Skenfrith	51.877590, -2.792776	0.3	1	5	
Hereford	52.055776, -2.714843	0.2	1	5	
Bringsty	52.194404, -2.438294	-0.3	1	5	
Ludlow	52.368779, -2.714032	0.3	1	5	
Stokesay	52.430401, -2.831563	0.3	1	5	
Much Wenlock	52.595683, -2.558849	0.3	1	5	
Coalbrookdale	52.635817, -2.489992	0.3	1	5	
Wroxeter	52.669412, -2.645860	0.3	1	5	
Shrewsbury	52.706871, -2.755724	0.3	1	5	
Chirk	52.932172, -3.056666	0.2	1	5	
Harlech	52.859142, -4.109843	0.3	1	5	
Portmerion	52.915488, -4.097483	0.3	1	5	
Caernarfon	53.138968, -4.273583	0.3	1	5	
Llanfairpwll	53.225866, -4.193932	0.3	1	5	
Beaumaris	53.264764, -4.092308	0.3	1	5	
Penrhyn Castle	53.225800, -4.094509	-0.2	1	5	
Conwy	53.283089, -3.829620	-0.2	1	5	
Chester	53.192647, -2.891770	0.2	1	5	
Congleton	53.163689, -2.219199	0.3	1	5	
Housesteads	55.013280, -2.330425	0.2	1	5	
Prudhoe	54.962680, -1.844443	0.3	1	5	
Finchdale Priory	54.818140, -1.540946	0.3	1	5	
Durham	54.774597, -1.593817	-0.2	1	5	
Whitby	54.486439, -0.613278	0.2	1	5	
Helmsley	54.248092, -1.057613	0.3	1	5	
York	53.960130, -1.087533	0.2	1	5	
Fountains	54.113363, -1.583634	-0.3	1	5	
Lincoln	53.233543, -0.534585	0.3	1	5	
Peterborough	52.570468, -0.237870	-0.3	1	5	
Cambridge	52.209130, 0.127327	-0.2	1	5	
Lavenham	52.105499, 0.794344	0.3	1	5	Guildhall and Half Timbered Houses
Kersey	52.053379, 0.919699	-0.3	1	5	The Bell Pub - Half Timbered
Leeds Castle	51.247823, 0.628606	0.3	1	5	
Biddenden	51.115327, 0.642703	0.3	1	5	
Sissinghurst	51.109344, 0.559325	0.2	1	5	Sissinghurst Castle garden
Lamberhurst	51.100310, 0.391793	0.2	1	5	Scotney Castle Garden
Rheims	49.256885, 4.030131	0.2	1	5	
Paris	48.863677, 2.352889	0.05	1	1	
New York	40.711811, -74.007536	0.05	2	1	
San Jose	37.338435, -121.890889	0.3	0	0	
Carmel-By-The-Sea	36.555198, -121.922924	0.3	1	0	
San Jose	37.338435, -121.890889	0.3	3	0	
San Francisco	37.773907, -122.423039	0.05	2	1	
Sydney	"-33.939914, -208.824713"	0.3	2	1	
Canberra	"-35.355434, -210.93395"	0.0	2	0	
