Location	LatLong	Curvature	Stop	Mode	Notes
Canberra	-35.355434, 149.066050	0.3	2	0	
Sydney	-33.939914, 151.175287	0.05	2	1	
Abu Dhabi	24.459632, 54.377252	0.05	2	1	
Dublin	53.361308, -6.317292	0.2	0	0	
Bir Castle Demesne	53.095782, -7.914277	0.3	1	0	
Clonmacnoise Monastery	53.325823, -7.986463	-0.2	1	0	
Oranmore	53.265864, -8.931865	0.2	0	0	
Clifden	53.491144, -10.029125	0.3	1	0	
Kylemore Abbey	53.561351, -9.891577	0.3	1	0	
Oranmore	53.265864, -8.931865	0.3	3	0	
Aillwee Cave	53.089217, -9.144400	0.3	1	0	
Burren	53.007587, -9.002142	-0.2	1	0	
Cliffs of Moher	52.971869, -9.426512	-0.2	1	0	
Killaloe	52.807768, -8.446663	0.3	1	0	
Killarney	52.061325, -9.516364	0.3	0	0	
Dingle Peninsula	52.201734, -10.121083	0.3	1	0	
Killarney	52.061325, -9.516364	0.3	3	0	
Bantry	51.683167, -9.458686	-0.3	1	0	
Cashel	52.518278, -7.887641	-0.3	1	0	
Kilkenny	52.653987, -7.255438	-0.3	1	0	
Glendalough	53.012629, -6.329926	0.3	1	0	
Newgrange	53.694771, -6.475241	0.3	1	0	
Carrick-a-Rede	55.239519, -6.332755	0.3	1	0	
Giant's Causeway	55.240831, -6.511552	0.3	1	0	
Old Bushmills Distillery	55.202854, -6.517227	0.3	1	0	
Dunluce Castle	55.210840, -6.580055	0.2	1	0	
Londonderry	54.999164, -7.311676	0.2	1	0	
Slieve League	54.641287, -8.681512	0.3	1	0	
Sligo Abbey	54.270780, -8.473520	-0.2	1	0	
Dublin	53.361308, -6.317292	0.05	2	1	
Abu Dhabi	24.459632, 54.377252	0.05	2	1	
Sydney	-33.939914, 151.175287	0.3	2	0	
Canberra	-35.355434, 149.066050	0.0	2	0	
