Location	LatLong	Curvature	Stop	Mode	Notes
Canberra	-35.355434, 149.066050	0.3	2	0	
Sydney	-33.939914, 151.175287	0.05	2	1	
Narita	35.770360, 140.384262	0.05	2	1	
Paris	48.848366, 2.350157	-0.2	0	2	
Lausanne	46.518982, 6.629115	0.3	0	5	
Simplon Pass	46.197777, 8.056635	0.3	2	5	
Lago Maggiore	45.895387, 8.528017	0.3	1	5	Isola Superiore and Isola Bella
Sirmione	45.495160, 10.604776	0.3	1	5	
Verona	45.438336, 10.987924	0.3	1	5	
Ravenna	44.416608, 12.196811	0.3	1	5	
San Marino	43.945858, 12.463229	0.3	1	5	
Urbino	43.753728, 12.644504	0.3	1	5	
Frasassi Caves	43.403048, 12.963413	0.3	1	5	
Gubbio	43.350989, 12.575865	0.3	1	5	
Perugia	43.112027, 12.369872	0.3	1	5	
Assisi	43.070848, 12.620746	0.3	0	5	
Orvieto	42.720248, 12.110689	0.3	1	5	
Montepulciano	43.099971, 11.784137	0.3	1	5	
Sienna	43.319174, 11.325458	0.3	1	5	
San Gimignano	43.468859, 11.043933	0.3	1	5	
Florence	43.768110, 11.254047	-0.3	0	5	
Pisa	43.722857, 10.396036	0.2	1	5	
Paris	48.848366, 2.350157	0.05	2	1	
Singapore	1.354541, 103.854563	0.05	2	1	
Sydney	-33.939914, 151.175287	0.3	2	0	
Canberra	-35.355434, 149.066050	0.0	2	0	
